"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 23:27:39 EDT 2024","Mon May 06 23:27:40 EDT 2024","1415","","tests.UniversityApiTests","","tests.UniversityApiTests","testUnencodedParameter","testUnencodedParameter()",""
"failed","Thu Apr 18 11:41:14 EDT 2024","Thu Apr 18 11:41:17 EDT 2024","2202","","api.tests.UniversityApiTests","","api.tests.UniversityApiTests","testInvalidRequest","testInvalidRequest()",""
"passed","Mon May 06 14:16:28 EDT 2024","Mon May 06 14:16:28 EDT 2024","29","","api.tests.UniversityApiTests","","api.tests.UniversityApiTests","testMissingAuthHeaderFor401Error","testMissingAuthHeaderFor401Error()",""
"failed","Fri Apr 26 14:04:44 EDT 2024","Fri Apr 26 14:04:46 EDT 2024","2178","","api.tests.UniversityApiTests","","api.tests.UniversityApiTests","testMissingAuthHeader","testMissingAuthHeader()",""
"passed","Mon May 06 23:20:55 EDT 2024","Mon May 06 23:20:56 EDT 2024","995","","tests.UniversityApiTests","","tests.UniversityApiTests","testMissingAuthHeaderFor404Error","testMissingAuthHeaderFor404Error()",""
"passed","Mon May 06 23:50:29 EDT 2024","Mon May 06 23:50:29 EDT 2024","32","Test Suite","Your Test","tests.UniversityApiTests","tests.UniversityApiTests","testInvalidURLPath","testInvalidURLPath",""
"failed","Mon May 06 12:20:04 EDT 2024","Mon May 06 12:20:06 EDT 2024","2465","","api.tests.UniversityApiTests","","api.tests.UniversityApiTests","testMissingParameterInvalidRequest","testMissingParameterInvalidRequest()",""
"failed","Mon May 06 23:16:47 EDT 2024","Mon May 06 23:16:49 EDT 2024","2001","","tests.UniversityApiTests","","tests.UniversityApiTests","testMissingParameterInvalidRequest","testMissingParameterInvalidRequest()",""
"passed","Mon May 06 23:50:29 EDT 2024","Mon May 06 23:50:29 EDT 2024","50","Test Suite","Your Test","tests.UniversityApiTests","tests.UniversityApiTests","testUnauthorizedEndpoint","testUnauthorizedEndpoint",""
"passed","Mon May 06 23:50:29 EDT 2024","Mon May 06 23:50:29 EDT 2024","36","Test Suite","Your Test","tests.UniversityApiTests","tests.UniversityApiTests","testMissingAuthHeader","testMissingAuthHeader",""
"passed","Mon May 06 14:16:25 EDT 2024","Mon May 06 14:16:28 EDT 2024","2507","","api.tests.UniversityApiTests","","api.tests.UniversityApiTests","getUniversityHappyPath","getUniversityHappyPath()",""
"failed","Mon May 06 14:16:28 EDT 2024","Mon May 06 14:16:28 EDT 2024","60","","api.tests.UniversityApiTests","","api.tests.UniversityApiTests","testMissingAuthHeaderFor404Error","testMissingAuthHeaderFor404Error()",""
"passed","Mon May 06 23:18:54 EDT 2024","Mon May 06 23:18:55 EDT 2024","1734","","tests.UniversityApiTests","","tests.UniversityApiTests","testUnauthorizedEndpoint","testUnauthorizedEndpoint()",""
"passed","Mon May 06 23:11:53 EDT 2024","Mon May 06 23:11:57 EDT 2024","3547","","tests.UniversityApiTests","","tests.UniversityApiTests","getUniversityHappyPath","getUniversityHappyPath()",""
"passed","Mon May 06 23:50:29 EDT 2024","Mon May 06 23:50:29 EDT 2024","44","Test Suite","Your Test","tests.UniversityApiTests","tests.UniversityApiTests","testUnencodedParameter","testUnencodedParameter",""
"failed","Fri Apr 26 14:07:59 EDT 2024","Fri Apr 26 14:08:00 EDT 2024","1544","","api.tests.UniversityApiTests","","api.tests.UniversityApiTests","testInvalidAuthHeader","testInvalidAuthHeader()",""
"passed","Mon May 06 23:50:27 EDT 2024","Mon May 06 23:50:29 EDT 2024","2113","Test Suite","Your Test","tests.UniversityApiTests","tests.UniversityApiTests","getUniversityHappyPath","getUniversityHappyPath",""
"passed","Mon May 06 23:23:26 EDT 2024","Mon May 06 23:23:28 EDT 2024","1667","","tests.UniversityApiTests","","tests.UniversityApiTests","testInvalidURLPath","testInvalidURLPath()",""
